State,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Massachusetts,"86,345","73,227","72,266","67,861","63,151","62,963","63,656","63,313","60,934","59,373","60,320","58,463","55,330","56,017","52,019","50,955","49,855","52,253","46,753"
Michigan,"60,449","57,700","57,091","54,203","52,005","48,801","50,015","48,879","46,276","45,994","49,788","49,370","48,647","45,933","42,256","45,022","42,715","45,047","45,512"
Minnesota,"71,817","71,920","70,218","68,730","67,244","60,907","61,795","57,820","52,321","56,090","54,925","58,058","56,211","54,215","56,104","52,823","54,622","52,681","54,251"
Mississippi,"42,781","43,441","41,099","40,037","35,521","40,850","36,641","41,090","38,160","35,078","36,446","37,279","34,733","32,875","34,755","32,728","30,882","30,161","34,299"
Missouri,"61,726","56,885","55,016","59,196","56,630","50,311","49,764","45,774","45,817","48,769","46,038","46,005","44,579","42,986","42,137","43,762","42,776","41,339","45,097"
Montana,"57,679","59,087","57,075","51,395","51,102","44,132","45,088","40,277","41,280","40,437","42,900","43,655","41,105","37,313","33,956","34,108","34,835","32,126","32,777"
Nebraska,"67,575","59,619","59,374","60,474","56,870","53,774","52,196","55,616","52,504","49,595","50,728","49,174","48,145","47,923","43,786","43,974","42,796","43,611","41,750"
Nevada,"61,864","56,550","55,431","52,008","49,875","45,369","47,333","47,043","51,200","51,434","54,744","54,058","52,282","48,209","47,204","45,184","44,958","45,403","45,758"
New Hampshire,"81,346","74,801","76,260","75,675","73,397","71,322","67,819","65,880","66,633","64,131","66,176","67,576","61,970","56,984","56,815","55,567","55,321","51,331","50,926"
New Jersey,"74,176","72,997","68,468","68,357","65,243","61,782","66,692","62,338","62,968","64,777","65,306","60,508","68,059","63,368","55,275","56,045","54,568","51,771","50,405"
New Mexico,"48,283","47,855","48,451","45,119","46,686","42,127","43,424","41,982","45,134","43,542","42,102","44,356","40,028","38,947","39,562","35,105","35,457","33,124","35,093"
New York,"67,274","62,447","61,437","58,005","54,310","53,843","47,680","50,636","49,781","50,216","50,461","48,944","48,222","47,176","44,649","42,788","41,966","42,114","40,744"
North Carolina,"53,369","50,343","53,764","50,797","46,784","41,208","41,553","45,206","43,830","41,906","42,930","43,513","39,797","42,056","40,238","37,279","36,515","38,162","38,317"
North Dakota,"66,505","59,886","60,184","57,415","60,730","52,888","55,766","56,361","51,006","50,075","49,631","47,205","41,047","42,192","39,220","40,410","36,200","35,793","35,996"
Ohio,"61,633","59,768","53,985","53,301","49,644","46,398","44,375","44,648","45,886","45,879","46,934","49,099","45,900","44,203","43,055","43,520","42,684","41,785","42,962"
Oklahoma,"54,434","55,006","50,943","47,077","47,199","43,777","48,407","48,455","43,103","45,878","46,111","43,216","38,838","37,645","39,614","35,902","36,458","35,609","32,432"
Oregon,"69,165","64,610","59,135","60,834","58,875","56,307","51,775","51,526","50,602","49,098","51,727","50,236","47,091","44,159","40,994","41,638","41,802","41,273","42,499"
Pennsylvania,"64,524","63,173","60,979","60,389","55,173","53,952","51,904","49,910","48,314","48,172","51,402","48,437","48,477","46,300","44,106","42,933","42,498","43,499","42,176"
Rhode Island,"62,266","66,390","61,528","55,701","58,633","57,812","56,065","49,033","51,623","51,634","53,241","54,210","53,736","49,484","47,935","44,711","42,417","45,723","42,197"
South Carolina,"57,444","54,971","54,336","46,360","44,929","43,749","44,401","40,084","41,698","41,101","42,155","44,213","39,617","40,230","38,691","38,479","37,812","37,736","37,570"
South Dakota,"59,463","56,894","57,450","55,065","53,053","54,453","49,415","47,223","45,352","45,826","51,600","46,418","45,427","43,151","41,107","39,522","37,873","39,671","36,475"
Tennessee,"56,060","55,240","51,344","47,330","43,716","42,499","42,995","42,279","38,591","40,517","39,702","41,195","40,693","39,406","38,072","37,523","37,030","35,783","34,096"
Texas,"59,785","59,295","58,146","56,473","53,875","53,027","51,926","49,047","47,266","47,475","46,490","46,053","43,307","41,422","41,397","39,271","40,149","40,860","38,609"
Utah,"77,067","71,319","67,481","66,258","63,383","62,967","58,341","55,493","56,701","58,491","62,537","53,529","54,628","54,813","50,871","49,275","47,861","47,342","47,550"
Vermont,"70,066","63,805","60,837","59,494","60,708","54,842","55,582","51,862","55,928","52,318","50,706","47,390","51,981","50,704","47,329","43,261","42,999","40,794","39,594"
Virginia,"77,151","71,293","66,451","61,486","66,155","67,620","64,632","62,616","60,367","60,501","61,985","59,161","57,119","51,914","51,141","54,783","49,631","50,241","47,163"
Washington,"79,726","75,418","70,310","67,243","59,068","60,106","62,187","56,850","56,163","60,392","56,631","58,080","54,723","50,646","49,922","47,508","45,183","42,490","42,525"
West Virginia,"50,573","45,392","44,354","42,824","39,552","40,241","43,553","41,821","42,777","40,490","37,994","42,091","38,419","36,445","33,373","32,763","29,359","29,673","29,411"
Wisconsin,"62,629","63,451","59,817","55,425","58,080","55,258","53,079","52,058","50,351","51,237","51,200","51,277","51,692","44,650","45,732","46,269","45,903","45,346","45,088"
Wyoming,"62,539","57,837","57,829","60,925","55,690","55,700","57,512","54,509","52,201","52,470","53,337","48,744","47,041","44,718","45,397","42,555","39,763","39,719","39,629"
